packet_loss,N,mean,lower_ci,upper_ci
0.0,10,1.0,1.0,1.0
0.0,20,1.0,1.0,1.0
0.0,30,1.0,1.0,1.0
0.05,10,0.5915,0.5699565884270852,0.6130434115729149
0.05,20,0.3625,0.3414314244667562,0.3835685755332438
0.05,30,0.214,0.19602540005452138,0.23197459994547862
0.1,10,0.364,0.34291273172741427,0.3850872682725857
0.1,20,0.117,0.10291313488387144,0.13108686511612858
0.1,30,0.044,0.035011310929840764,0.05298868907015923
0.15,10,0.1985,0.1810187254984083,0.2159812745015917
0.15,20,0.0445,0.03546274733118521,0.05353725266881479
0.15,30,0.006,0.0026153801986042798,0.009384619801395721
0.2,10,0.1095,0.09581436052644964,0.12318563947355037
0.2,20,0.011,0.006428743805035644,0.015571256194964356
0.2,30,0.0015,-0.00019613625631904929,0.0031961362563190493
0.25,10,0.051,0.04135817448819986,0.06064182551180013
0.25,20,0.003,0.000603103506615273,0.005396896493384727
0.25,30,0.0,0.0,0.0
0.3,10,0.028,0.02076975153953891,0.03523024846046109
0.3,20,0.0,0.0,0.0
0.3,30,0.0,0.0,0.0
0.35,10,0.011,0.006428743805035643,0.015571256194964356
0.35,20,0.0005,-0.0004797549693673416,0.0014797549693673416
0.35,30,0.0,0.0,0.0
0.4,10,0.0095,0.005248618130536849,0.01375138186946315
0.4,20,0.0,0.0,0.0
0.4,30,0.0,0.0,0.0
0.45,10,0.0035,0.0009117051558989648,0.006088294844101035
0.45,20,0.0,0.0,0.0
0.45,30,0.0,0.0,0.0
0.5,10,0.0005,-0.0004797549693673414,0.0014797549693673414
0.5,20,0.0,0.0,0.0
0.5,30,0.0,0.0,0.0
