time,fragment_count,dummy_ratio,latency_ms
0,10,1.0,30
1,10,1.0,30
2,10,1.0,30
3,10,1.0,30
4,10,1.0,30
5,10,1.0,30
6,10,1.0,30
7,10,1.0,30
8,10,1.0,30
9,10,1.0,30
10,10,1.0,30
11,10,1.0,30
12,10,1.0,30
13,10,1.0,30
14,10,1.0,30
15,10,1.0,30
16,10,1.0,30
17,10,1.0,30
18,10,1.0,30
19,10,1.0,30
20,10,1.0,30
21,10,1.0,30
22,10,1.0,30
23,10,1.0,30
24,10,1.0,30
25,20,2.0,40
26,20,2.0,40
27,20,2.0,40
28,20,2.0,40
29,20,2.0,40
30,20,2.0,40
31,20,2.0,40
32,20,2.0,40
33,20,2.0,40
34,20,2.0,40
35,20,2.0,40
36,20,2.0,40
37,20,2.0,40
38,20,2.0,40
39,20,2.0,40
40,20,2.0,40
41,20,2.0,40
42,20,2.0,40
43,20,2.0,40
44,20,2.0,40
45,20,2.0,40
46,20,2.0,40
47,20,2.0,40
48,20,2.0,40
49,20,2.0,40
